,Date,Quality Level,AQI,AQI Rank in China,PM2.5,PM10,SO2,NO2,CO,O3,Weather Condition,Temperature,Wind Force and Wind Direction
664,2015-08-27,优,32,30,9,22,2,22,0.44,61,多云/多云,21℃/31℃,无持续风向≤3级/无持续风向≤3级
665,2015-08-28,优,41,79,15,31,2,23,0.47,72,多云/多云,21℃/32℃,无持续风向≤3级/无持续风向≤3级
666,2015-08-29,良,70,241,26,47,2,20,0.6,117,雷阵雨/雷阵雨,20℃/29℃,无持续风向≤3级/无持续风向≤3级
667,2015-08-30,优,45,101,26,35,2,23,0.94,68,雷阵雨/小到中雨,19℃/27℃,无持续风向≤3级/无持续风向≤3级
668,2015-08-31,优,39,70,25,26,2,23,0.7,55,小到中雨/小到中雨,18℃/25℃,无持续风向≤3级/无持续风向≤3级
669,2015-09-01,优,27,30,9,13,2,17,0.5,45,阵雨/阴,18℃/25℃,无持续风向≤3级/无持续风向≤3级
670,2015-09-02,优,26,34,8,14,2,17,0.43,52,多云/晴,18℃/29℃,无持续风向≤3级/无持续风向≤3级
671,2015-09-03,优,39,99,13,25,2,18,0.48,70,多云/阴,21℃/31℃,无持续风向≤3级/无持续风向≤3级
672,2015-09-04,良,84,324,44,78,2,24,1.48,62,小到中雨/中到大雨,19℃/24℃,无持续风向≤3级/无持续风向≤3级
673,2015-09-05,优,40,104,16,11,2,20,0.66,74,小到中雨/阴,17℃/22℃,无持续风向≤3级/无持续风向≤3级
674,2015-09-06,优,36,65,16,27,2,26,0.51,66,多云/晴,17℃/27℃,无持续风向≤3级/无持续风向≤3级
675,2015-09-07,良,51,154,23,41,2,35,0.65,68,晴/晴,17℃/29℃,无持续风向≤3级/无持续风向≤3级
676,2015-09-08,良,78,299,49,78,5,49,0.87,82,多云/阴,18℃/27℃,无持续风向≤3级/无持续风向≤3级
677,2015-09-09,良,55,187,35,52,2,40,0.73,51,阴/阴,19℃/23℃,无持续风向≤3级/无持续风向≤3级
678,2015-09-10,优,18,1,7,13,2,26,0.41,27,小雨/小雨,14℃/22℃,无持续风向≤3级/无持续风向≤3级
679,2015-09-11,优,22,10,7,11,2,23,0.38,42,多云/多云,15℃/22℃,无持续风向≤3级/北风3-4级
680,2015-09-12,优,28,24,7,18,2,25,0.35,47,晴/晴,12℃/26℃,北风3-4级/无持续风向≤3级
681,2015-09-13,优,47,98,17,47,2,41,0.54,54,晴/多云,15℃/28℃,无持续风向≤3级/无持续风向≤3级
682,2015-09-14,良,90,344,62,101,9,54,0.85,71,晴/多云,14℃/26℃,无持续风向≤3级/无持续风向≤3级
683,2015-09-15,轻度污染,135,363,102,126,13,56,1.14,97,晴/晴,15℃/26℃,无持续风向≤3级/无持续风向≤3级
684,2015-09-16,中度污染,164,361,124,136,7,58,1.21,89,晴/多云,16℃/27℃,无持续风向≤3级/无持续风向≤3级
685,2015-09-17,中度污染,194,363,146,163,8,61,1.27,91,霾/阵雨,18℃/27℃,无持续风向≤3级/无持续风向≤3级
686,2015-09-18,轻度污染,109,331,76,56,2,45,0.87,66,阴/晴,16℃/28℃,无持续风向≤3级/无持续风向≤3级
687,2015-09-19,优,33,48,15,32,2,47,0.48,22,晴/晴,15℃/27℃,无持续风向≤3级/无持续风向≤3级
688,2015-09-20,轻度污染,113,352,84,103,10,42,0.97,118,多云/晴,17℃/28℃,南风3-4级/无持续风向≤3级
689,2015-09-21,轻度污染,130,348,98,130,15,63,1.2,81,多云/多云,18℃/27℃,无持续风向≤3级/无持续风向≤3级
690,2015-09-22,中度污染,178,366,137,130,10,59,1.46,52,阵雨/阴,14℃/26℃,南风3-4级/无持续风向≤3级
691,2015-09-23,优,44,109,29,37,2,41,0.69,51,晴/雾,17℃/26℃,无持续风向≤3级/无持续风向≤3级
692,2015-09-24,轻度污染,133,341,97,106,4,51,1.15,55,阴/雷阵雨,16℃/26℃,无持续风向≤3级/无持续风向≤3级
693,2015-09-25,优,41,101,19,25,2,35,0.54,41,晴/晴,13℃/26℃,无持续风向≤3级/无持续风向≤3级
694,2015-09-26,良,56,179,30,65,5,44,0.64,59,晴/晴,15℃/26℃,无持续风向≤3级/无持续风向≤3级
695,2015-09-27,良,72,254,46,79,3,54,0.75,58,晴/阴,15℃/26℃,无持续风向≤3级/无持续风向≤3级
696,2015-09-28,良,64,246,44,49,3,42,1.13,39,小雨/小雨,14℃/17℃,无持续风向≤3级/无持续风向≤3级
697,2015-09-29,良,60,232,43,31,2,42,1.11,11,小雨/阴,13℃/17℃,无持续风向≤3级/无持续风向≤3级
698,2015-09-30,优,41,103,28,16,2,36,0.68,24,阵雨/小到中雨,14℃/20℃,无持续风向≤3级/北风4-5级
699,2015-10-01,优,33,27,13,22,2,23,0.34,43,晴/晴,10℃/22℃,北风5-6级/无持续风向≤3级
700,2015-10-02,良,58,139,27,66,3,44,0.6,37,晴/晴,12℃/26℃,无持续风向≤3级/无持续风向≤3级
701,2015-10-03,良,56,128,25,65,3,45,0.64,44,晴/晴,12℃/25℃,无持续风向≤3级/无持续风向≤3级
702,2015-10-04,轻度污染,136,336,103,145,8,72,1.26,47,晴/晴,13℃/25℃,无持续风向≤3级/无持续风向≤3级
703,2015-10-05,严重污染,263,361,212,217,8,75,1.69,83,晴/晴,15℃/26℃,无持续风向≤3级/无持续风向≤3级
704,2015-10-06,严重污染,335,364,281,189,7,77,1.93,94,霾/雾,16℃/25℃,无持续风向≤3级/无持续风向≤3级
705,2015-10-07,严重污染,315,364,265,96,7,74,1.81,64,霾/晴,13℃/25℃,无持续风向≤3级/北风4-5级
706,2015-10-08,优,31,31,9,25,2,20,0.3,41,晴/晴,7℃/19℃,北风4-5级/无持续风向≤3级
707,2015-10-09,优,41,77,14,38,2,27,0.35,37,晴/晴,8℃/20℃,北风4-5级/北风3-4级
708,2015-10-10,优,23,8,7,18,2,13,0.27,43,晴/多云,10℃/17℃,北风4-5级/北风3-4级
709,2015-10-11,优,30,29,9,23,2,18,0.31,58,多云/晴,8℃/22℃,北风4-5级/无持续风向≤3级
710,2015-10-12,优,36,35,14,35,3,40,0.45,38,晴/晴,9℃/23℃,无持续风向≤3级/无持续风向≤3级
711,2015-10-13,良,56,84,30,65,5,61,0.71,37,晴/阴,11℃/26℃,无持续风向≤3级/无持续风向≤3级
712,2015-10-14,轻度污染,124,280,93,131,14,88,1.83,29,多云/多云,10℃/22℃,无持续风向≤3级/无持续风向≤3级
713,2015-10-15,轻度污染,137,291,103,128,8,85,1.43,56,晴/晴,12℃/25℃,无持续风向≤3级/无持续风向≤3级
714,2015-10-16,重度污染,237,353,191,211,12,103,1.96,71,霾/阴,12℃/25℃,无持续风向≤3级/无持续风向≤3级
715,2015-10-17,严重污染,342,366,291,179,13,114,2.46,49,霾/霾,13℃/23℃,无持续风向≤3级/北风3-4级
716,2015-10-18,良,79,201,53,44,6,43,0.84,33,晴/多云,10℃/20℃,无持续风向≤3级/无持续风向≤3级
717,2015-10-19,良,79,171,51,96,6,56,0.81,23,晴/阴,12℃/21℃,无持续风向≤3级/无持续风向≤3级
718,2015-10-20,轻度污染,103,254,75,112,8,64,1.4,6,小雨/小雨,10℃/14℃,无持续风向≤3级/无持续风向≤3级
719,2015-10-21,良,69,132,49,36,2,39,0.95,13,小雨/小雨,9℃/12℃,无持续风向≤3级/无持续风向≤3级
720,2015-10-22,优,43,38,29,33,2,40,0.71,13,小雨/阴,8℃/11℃,无持续风向≤3级/无持续风向≤3级
721,2015-10-23,良,71,131,51,64,2,51,0.86,14,多云/晴,8℃/18℃,无持续风向≤3级/无持续风向≤3级
722,2015-10-24,良,77,176,55,73,5,50,1.06,22,晴/多云,7℃/18℃,无持续风向≤3级/无持续风向≤3级
723,2015-10-25,良,59,141,35,66,7,59,0.92,9,多云/小雨,9℃/15℃,无持续风向≤3级/无持续风向≤3级
724,2015-10-26,良,61,148,30,47,2,28,0.51,34,阴/晴,6℃/15℃,北风3-4级/北风3-4级
725,2015-10-27,优,40,61,13,41,2,32,0.44,32,晴/晴,4℃/17℃,北风3-4级/无持续风向≤3级
726,2015-10-28,优,19,3,6,16,2,18,0.3,41,晴/晴,5℃/15℃,无持续风向≤3级/北风3-4级
727,2015-10-29,优,25,4,6,21,2,16,0.3,48,晴/晴,3℃/12℃,北风4-5级/北风3-4级
728,2015-10-30,优,41,80,20,44,3,41,0.61,22,晴/晴,1℃/13℃,无持续风向≤3级/无持续风向≤3级
729,2015-10-31,良,60,221,38,64,4,54,0.81,20,晴/晴,2℃/15℃,无持续风向≤3级/无持续风向≤3级
730,2015-11-01,良,92,300,68,99,6,79,0.96,28,晴/晴,3℃/17℃,无持续风向≤3级/无持续风向≤3级
731,2015-11-02,轻度污染,102,257,75,115,7,79,1.42,18,晴/晴,4℃/19℃,无持续风向≤3级/无持续风向≤3级
732,2015-11-03,中度污染,184,344,141,168,15,83,1.82,29,霾/多云,5℃/17℃,南风3-4级/无持续风向≤3级
733,2015-11-04,重度污染,250,366,199,221,14,101,1.95,13,霾/小雨,9℃/16℃,无持续风向≤3级/无持续风向≤3级
734,2015-11-05,中度污染,153,330,121,78,7,55,1.13,14,小雨/雨夹雪,2℃/11℃,无持续风向≤3级/无持续风向≤3级
735,2015-11-06,优,29,32,20,1,2,27,0.57,29,雨夹雪/雨夹雪,1℃/4℃,无持续风向≤3级/无持续风向≤3级
736,2015-11-07,优,28,20,19,10,2,28,0.61,33,阴/小雨,4℃/7℃,无持续风向≤3级/无持续风向≤3级
737,2015-11-08,良,77,236,56,47,3,43,0.92,21,阴/晴,1℃/10℃,无持续风向≤3级/无持续风向≤3级
738,2015-11-09,中度污染,160,334,121,118,3,56,1.61,3,晴/雾,3℃/13℃,无持续风向≤3级/无持续风向≤3级
739,2015-11-10,中度污染,166,340,125,79,3,54,1.56,3,霾/雾,4℃/8℃,无持续风向≤3级/无持续风向≤3级
740,2015-11-11,轻度污染,131,297,99,31,4,52,1.79,6,霾/雾,6℃/8℃,无持续风向≤3级/无持续风向≤3级
741,2015-11-12,中度污染,190,336,147,97,5,58,2.43,2,霾/小雨,6℃/9℃,无持续风向≤3级/无持续风向≤3级
742,2015-11-13,严重污染,256,364,205,142,14,68,3.06,2,阴/雾,6℃/9℃,无持续风向≤3级/无持续风向≤3级
743,2015-11-14,严重污染,309,364,258,172,16,79,3.56,5,霾/雾,7℃/10℃,无持续风向≤3级/无持续风向≤3级
744,2015-11-15,重度污染,241,362,192,122,12,68,3.19,14,霾/小雨,6℃/12℃,无持续风向≤3级/无持续风向≤3级
745,2015-11-16,良,78,250,57,43,8,50,1.46,8,多云/多云,1℃/9℃,无持续风向≤3级/无持续风向≤3级
746,2015-11-17,良,88,315,64,84,6,43,1.67,7,多云/雨夹雪,2℃/11℃,无持续风向≤3级/无持续风向≤3级
747,2015-11-18,良,88,327,64,83,8,47,1.2,3,阴/小雨,2℃/6℃,无持续风向≤3级/无持续风向≤3级
748,2015-11-19,良,100,328,74,0,2,43,1.44,2,小雨/雨夹雪,1℃/5℃,无持续风向≤3级/无持续风向≤3级
749,2015-11-20,良,97,307,72,0,9,44,2.49,2,雨夹雪/中雪,-1℃/3℃,无持续风向≤3级/无持续风向≤3级
750,2015-11-21,良,59,170,41,4,7,40,2.17,2,中到大雪/中雪,-2℃/1℃,无持续风向≤3级/无持续风向≤3级
751,2015-11-22,良,69,298,49,2,6,37,1.02,19,大雪/小雪,-4℃/-1℃,无持续风向≤3级/无持续风向≤3级
752,2015-11-23,优,43,155,29,13,10,26,0.74,37,阴/多云,-6℃/0℃,无持续风向≤3级/无持续风向≤3级
753,2015-11-24,良,57,270,41,30,8,45,0.99,23,小雪/阴,-8℃/-2℃,无持续风向≤3级/无持续风向≤3级
754,2015-11-25,良,72,286,50,34,9,37,1.13,26,阴/晴,-9℃/-1℃,北风4-5级/北风4-5级
755,2015-11-26,良,52,163,33,43,10,34,0.8,38,晴/多云,-8℃/0℃,北风3-4级/无持续风向≤3级
756,2015-11-27,重度污染,232,361,183,161,34,84,2.6,7,多云/霾,-6℃/0℃,无持续风向≤3级/无持续风向≤3级
757,2015-11-28,严重污染,303,361,252,237,41,99,3.76,7,霾/雾,-4℃/2℃,无持续风向≤3级/无持续风向≤3级
758,2015-11-29,严重污染,291,354,240,272,38,102,4.73,10,霾/霾,-5℃/4℃,无持续风向≤3级/无持续风向≤3级
759,2015-11-30,严重污染,364,358,339,337,23,121,5.71,7,霾/雾,-3℃/4℃,无持续风向≤3级/无持续风向≤3级
760,2015-12-01,严重污染,478,366,476,461,35,136,8.11,5,霾/霾,-3℃/2℃,无持续风向≤3级/北风3-4级
761,2015-12-02,优,36,24,18,16,3,17,0.5,43,晴/晴,-3℃/4℃,北风4-5级/北风3-4级
762,2015-12-03,优,25,15,9,22,4,13,0.37,41,晴/晴,-4℃/2℃,北风5-6级/北风3-4级
763,2015-12-04,优,36,59,21,34,9,33,0.72,31,晴/晴,-4℃/6℃,北风3-4级/无持续风向≤3级
764,2015-12-05,良,72,216,52,72,18,62,1.51,15,晴/多云,-3℃/6℃,无持续风向≤3级/无持续风向≤3级
765,2015-12-06,中度污染,176,340,135,159,30,90,2.74,6,霾/小雪,-2℃/4℃,无持续风向≤3级/无持续风向≤3级
766,2015-12-07,重度污染,233,336,182,201,28,90,3.5,5,霾/雾,-2℃/4℃,无持续风向≤3级/无持续风向≤3级
767,2015-12-08,严重污染,295,350,244,240,20,92,4.28,4,霾/雨夹雪,1℃/4℃,无持续风向≤3级/无持续风向≤3级
768,2015-12-09,严重污染,297,350,246,17,32,93,3.6,5,霾/雾,1℃/3℃,无持续风向≤3级/无持续风向≤3级
769,2015-12-10,轻度污染,138,278,109,1,15,51,1.95,27,晴/晴,-4℃/9℃,北风3-4级/无持续风向≤3级
770,2015-12-11,良,57,138,39,45,12,56,1.22,18,晴/多云,-3℃/5℃,无持续风向≤3级/无持续风向≤3级
771,2015-12-12,轻度污染,146,299,113,142,21,81,2.47,7,多云/多云,-3℃/5℃,无持续风向≤3级/无持续风向≤3级
772,2015-12-13,重度污染,203,332,160,187,35,94,3.67,5,霾/小雪,-1℃/4℃,无持续风向≤3级/无持续风向≤3级
773,2015-12-14,轻度污染,138,260,109,36,11,58,2.04,32,阴/晴,-2℃/7℃,北风3-4级/北风3-4级
774,2015-12-15,优,26,5,6,9,3,13,0.39,51,晴/晴,-3℃/4℃,北风4-5级/北风3-4级
775,2015-12-16,优,20,3,6,11,3,15,0.42,37,晴/晴,-7℃/2℃,北风4-5级/北风3-4级
776,2015-12-17,良,66,241,47,62,15,53,1.36,13,晴/晴,-6℃/4℃,无持续风向≤3级/无持续风向≤3级
777,2015-12-18,良,72,183,48,72,15,54,1.42,22,晴/晴,-5℃/6℃,无持续风向≤3级/无持续风向≤3级
778,2015-12-19,中度污染,162,316,122,152,28,83,3.04,8,霾/霾,-4℃/3℃,无持续风向≤3级/无持续风向≤3级
779,2015-12-20,严重污染,259,338,208,220,24,102,3.61,7,霾/雾,-5℃/4℃,无持续风向≤3级/无持续风向≤3级
780,2015-12-21,严重污染,280,325,229,234,23,104,3.98,8,霾/雾,-4℃/5℃,无持续风向≤3级/无持续风向≤3级
781,2015-12-22,严重污染,351,347,308,304,29,104,5.41,7,霾/雾,-5℃/4℃,无持续风向≤3级/无持续风向≤3级
782,2015-12-23,严重污染,303,326,254,291,20,99,4.69,17,雾/多云,-5℃/6℃,无持续风向≤3级/无持续风向≤3级
783,2015-12-24,中度污染,151,274,117,138,17,71,2.24,22,晴/霾,-6℃/5℃,无持续风向≤3级/无持续风向≤3级
784,2015-12-25,严重污染,468,366,463,464,12,135,6.97,7,霾/霾,-4℃/4℃,无持续风向≤3级/无持续风向≤3级
785,2015-12-26,严重污染,333,365,290,389,8,105,5.28,6,雾/多云,-7℃/3℃,无持续风向≤3级/无持续风向≤3级
786,2015-12-27,良,65,146,47,31,11,51,1.11,14,小雪/多云,-7℃/-1℃,无持续风向≤3级/无持续风向≤3级
787,2015-12-28,轻度污染,141,293,107,119,21,75,2.27,7,晴/多云,-6℃/2℃,无持续风向≤3级/无持续风向≤3级
788,2015-12-29,严重污染,310,362,263,303,32,114,4.16,6,霾/霾,-4℃/4℃,无持续风向≤3级/无持续风向≤3级
789,2015-12-30,轻度污染,113,174,88,87,11,54,1.64,32,晴/晴,-6℃/5℃,北风3-4级/无持续风向≤3级
790,2015-12-31,良,86,127,58,83,15,67,1.67,14,晴/晴,-6℃/4℃,无持续风向≤3级/无持续风向≤3级
791,2016-01-01,重度污染,212,337,167,185,32,102,3.37,7,霾/霾,-4℃/5℃,无持续风向≤3级/无持续风向≤3级
792,2016-01-02,严重污染,303,351,253,272,34,120,4.54,9,霾/雾,-5℃/7℃,无持续风向≤3级/无持续风向≤3级
793,2016-01-03,严重污染,302,326,256,299,19,86,3.78,11,霾/霾,-3℃/4℃,无持续风向≤3级/无持续风向≤3级
794,2016-01-04,良,62,86,42,24,5,32,1.03,45,多云/多云,-6℃/2℃,北风3-4级/无持续风向≤3级
795,2016-01-05,优,46,67,29,40,9,33,0.8,33,晴/晴,-7℃/1℃,北风3-4级/无持续风向≤3级
796,2016-01-06,优,45,70,25,47,10,34,0.93,32,晴/晴,-6℃/3℃,北风3-4级/北风3-4级
797,2016-01-07,优,24,2,11,20,6,25,0.52,42,晴/晴,-7℃/2℃,北风3-4级/无持续风向≤3级
798,2016-01-08,优,46,62,29,43,11,37,0.92,34,晴/晴,-8℃/2℃,北风3-4级/无持续风向≤3级
799,2016-01-09,良,95,183,69,91,21,69,1.77,12,晴/晴,-6℃/3℃,无持续风向≤3级/无持续风向≤3级
800,2016-01-10,良,73,155,49,78,20,55,1.52,22,多云/多云,-8℃/1℃,无持续风向≤3级/无持续风向≤3级
801,2016-01-11,优,26,20,10,22,5,22,0.54,50,晴/晴,-8℃/-1℃,无持续风向≤3级/无持续风向≤3级
802,2016-01-12,优,29,19,12,27,7,27,0.63,44,晴/晴,-9℃/0℃,无持续风向≤3级/无持续风向≤3级
803,2016-01-13,优,43,46,23,43,12,44,0.9,33,晴/多云,-7℃/2℃,无持续风向≤3级/无持续风向≤3级
804,2016-01-14,良,89,197,65,89,24,66,1.81,21,多云/晴,-7℃/3℃,无持续风向≤3级/无持续风向≤3级
805,2016-01-15,轻度污染,123,248,93,119,32,80,2.48,12,霾/阴,-5℃/2℃,无持续风向≤3级/无持续风向≤3级
806,2016-01-16,中度污染,166,299,126,145,44,71,2.56,8,阴/小雪,-6℃/-1℃,无持续风向≤3级/无持续风向≤3级
807,2016-01-17,良,62,136,41,42,9,29,0.89,47,晴/晴,-10℃/-2℃,北风3-4级/北风3-4级
808,2016-01-18,优,42,61,9,42,3,15,0.51,54,晴/晴,-13℃/-4℃,北风3-4级/无持续风向≤3级
809,2016-01-19,良,80,168,56,82,20,58,1.55,18,晴/霾,-10℃/-2℃,无持续风向≤3级/无持续风向≤3级
810,2016-01-20,轻度污染,149,339,112,136,52,76,3.33,6,多云/霾,-8℃/-2℃,无持续风向≤3级/无持续风向≤3级
811,2016-01-21,中度污染,175,347,132,148,28,68,2.78,6,小雪/阴,-10℃/-2℃,无持续风向≤3级/北风3-4级
812,2016-01-22,优,45,119,17,35,4,16,0.64,55,多云/晴,-17℃/-6℃,北风4-5级/北风3-4级
813,2016-01-23,优,42,85,8,41,3,11,0.57,56,晴/晴,-14℃/-11℃,北风5-6级/北风4-5级
814,2016-01-24,良,52,144,11,54,5,20,0.58,49,晴/晴,-11℃/-3℃,北风4-5级/无持续风向≤3级
815,2016-01-25,优,47,50,26,46,15,39,0.79,36,晴/晴,-8℃/3℃,北风3-4级/北风3-4级
816,2016-01-26,良,56,85,30,55,16,33,0.74,41,晴/晴,-9℃/2℃,北风3-4级/无持续风向≤3级
817,2016-01-27,轻度污染,122,295,91,100,35,73,2.03,13,晴/多云,-7℃/3℃,无持续风向≤3级/无持续风向≤3级
818,2016-01-28,中度污染,157,315,119,128,43,77,2.32,17,晴/晴,-7℃/4℃,无持续风向≤3级/无持续风向≤3级
819,2016-01-29,良,89,229,65,84,35,55,1.83,16,晴/阴,-7℃/0℃,无持续风向≤3级/无持续风向≤3级
820,2016-01-30,良,67,171,48,58,20,46,1.26,25,多云/晴,-10℃/-3℃,无持续风向≤3级/无持续风向≤3级
821,2016-01-31,优,33,29,16,27,8,26,0.58,50,晴/晴,-9℃/1℃,北风3-4级/无持续风向≤3级
822,2016-02-01,优,27,41,12,22,8,28,0.56,48,晴/晴,-8℃/4℃,无持续风向≤3级/无持续风向≤3级
823,2016-02-02,优,38,40,26,31,14,43,0.85,39,晴/晴,-7℃/5℃,无持续风向≤3级/无持续风向≤3级
824,2016-02-03,优,50,39,34,44,18,52,1.16,29,晴/晴,-5℃/6℃,无持续风向≤3级/无持续风向≤3级
825,2016-02-04,优,31,3,12,23,7,21,0.47,61,多云/晴,-6℃/4℃,无持续风向≤3级/无持续风向≤3级
826,2016-02-05,优,38,35,9,30,5,14,0.36,67,晴/晴,-4℃/4℃,北风3-4级/北风3-4级
827,2016-02-06,优,45,44,27,38,11,30,0.71,51,晴/晴,-6℃/6℃,无持续风向≤3级/无持续风向≤3级
828,2016-02-07,良,66,93,40,68,18,34,0.9,45,晴/晴,-4℃/8℃,无持续风向≤3级/无持续风向≤3级
829,2016-02-08,中度污染,198,277,190,250,53,35,1.01,44,晴/晴,-3℃/12℃,北风3-4级/无持续风向≤3级
830,2016-02-09,良,56,53,40,48,18,37,1.05,46,晴/晴,-3℃/10℃,无持续风向≤3级/无持续风向≤3级
831,2016-02-10,轻度污染,122,291,92,94,45,61,2.4,26,霾/阴,-1℃/9℃,无持续风向≤3级/无持续风向≤3级
832,2016-02-11,重度污染,206,345,156,166,43,68,3.14,11,小雨/雾,-1℃/6℃,无持续风向≤3级/无持续风向≤3级
833,2016-02-12,中度污染,192,330,147,99,18,54,2.2,24,小雨/雨夹雪,2℃/10℃,无持续风向≤3级/北风3-4级
834,2016-02-13,优,29,22,9,8,4,12,0.34,60,阴/多云,-6℃/4℃,北风5-6级/北风4-5级
835,2016-02-14,优,34,77,6,14,3,10,0.35,66,晴/晴,-7℃/1℃,北风4-5级/无持续风向≤3级
836,2016-02-15,优,44,170,6,45,3,12,0.32,64,晴/晴,-4℃/5℃,北风3-4级/无持续风向≤3级
837,2016-02-16,优,39,59,7,37,4,15,0.31,63,晴/晴,-4℃/8℃,北风3-4级/无持续风向≤3级
838,2016-02-17,良,59,165,41,46,14,43,1.0,39,晴/晴,-2℃/9℃,无持续风向≤3级/北风3-4级
839,2016-02-18,优,41,16,14,31,5,21,0.42,66,晴/阴,-2℃/9℃,北风4-5级/无持续风向≤3级
840,2016-02-19,优,38,14,14,31,5,24,0.5,55,多云/晴,-5℃/8℃,北风3-4级/无持续风向≤3级
841,2016-02-20,优,36,14,14,21,5,18,0.42,61,晴/晴,-6℃/4℃,北风3-4级/无持续风向≤3级
842,2016-02-21,轻度污染,101,244,75,95,23,52,1.39,28,晴/多云,-4℃/6℃,无持续风向≤3级/无持续风向≤3级
843,2016-02-22,轻度污染,104,265,71,90,16,41,1.15,43,晴/晴,-3℃/8℃,北风3-4级/北风3-4级
844,2016-02-23,优,36,42,10,19,4,14,0.35,68,晴/晴,-6℃/4℃,北风3-4级/无持续风向≤3级
845,2016-02-24,优,49,95,25,44,8,32,0.74,44,晴/多云,-4℃/7℃,无持续风向≤3级/无持续风向≤3级
846,2016-02-25,优,43,45,24,43,9,33,0.72,44,多云/晴,-5℃/6℃,无持续风向≤3级/无持续风向≤3级
847,2016-02-26,良,54,107,34,55,12,36,0.74,49,多云/多云,-2℃/8℃,无持续风向≤3级/无持续风向≤3级
848,2016-02-27,优,33,16,20,30,8,33,0.58,51,多云/阴,-3℃/7℃,无持续风向≤3级/无持续风向≤3级
849,2016-02-28,良,56,90,29,48,7,31,0.74,49,多云/晴,-4℃/8℃,北风4-5级/北风4-5级
850,2016-02-29,优,50,81,32,42,10,38,0.68,47,多云/晴,-4℃/5℃,无持续风向≤3级/无持续风向≤3级
851,2016-03-01,轻度污染,150,357,114,126,28,79,1.87,23,晴/晴,-2℃/10℃,无持续风向≤3级/无持续风向≤3级
852,2016-03-02,重度污染,206,353,159,175,30,103,2.46,27,晴/霾,2℃/17℃,无持续风向≤3级/无持续风向≤3级
853,2016-03-03,严重污染,321,366,271,281,44,114,3.38,23,霾/霾,4℃/17℃,无持续风向≤3级/无持续风向≤3级
854,2016-03-04,严重污染,376,364,326,277,46,113,4.38,11,霾/霾,4℃/12℃,无持续风向≤3级/北风3-4级
855,2016-03-05,重度污染,207,314,59,306,2,19,0.38,66,晴/晴,-1℃/12℃,北风4-5级/无持续风向≤3级
856,2016-03-06,轻度污染,114,187,69,177,24,64,1.45,19,多云/晴,-2℃/11℃,无持续风向≤3级/无持续风向≤3级
857,2016-03-07,良,67,112,32,84,9,28,0.82,55,晴/晴,-1℃/12℃,北风3-4级/北风3-4级
858,2016-03-08,优,35,13,9,25,2,13,0.35,67,多云/阴,-2℃/6℃,北风3-4级/北风3-4级
859,2016-03-09,优,33,55,9,22,3,14,0.35,62,多云/晴,-4℃/5℃,无持续风向≤3级/北风3-4级
860,2016-03-10,优,46,156,10,47,3,15,0.35,64,晴/晴,-4℃/7℃,北风3-4级/无持续风向≤3级
861,2016-03-11,优,47,81,21,49,6,31,0.56,52,晴/晴,-2℃/8℃,无持续风向≤3级/无持续风向≤3级
862,2016-03-12,轻度污染,140,346,106,134,37,78,1.74,20,多云/晴,1℃/9℃,无持续风向≤3级/北风3-4级
863,2016-03-13,良,54,102,29,46,8,31,0.64,64,晴/晴,-2℃/12℃,北风3-4级/无持续风向≤3级
864,2016-03-14,良,99,255,73,111,19,61,1.23,36,晴/多云,3℃/15℃,无持续风向≤3级/无持续风向≤3级
865,2016-03-15,中度污染,176,354,135,189,44,76,1.54,25,多云/霾,2℃/15℃,无持续风向≤3级/无持续风向≤3级
866,2016-03-16,严重污染,295,361,244,274,37,88,2.19,51,霾/霾,6℃/17℃,无持续风向≤3级/无持续风向≤3级
867,2016-03-17,严重污染,338,362,287,291,30,99,2.25,49,霾/雾,6℃/18℃,无持续风向≤3级/无持续风向≤3级
868,2016-03-18,重度污染,220,342,181,132,12,64,1.51,60,霾/多云,4℃/21℃,无持续风向≤3级/无持续风向≤3级
869,2016-03-19,良,91,181,61,111,15,41,1.01,55,多云/多云,3℃/16℃,无持续风向≤3级/无持续风向≤3级
870,2016-03-20,良,86,188,62,103,9,58,0.98,42,多云/晴,4℃/16℃,无持续风向≤3级/无持续风向≤3级
871,2016-03-21,中度污染,157,351,119,174,18,76,1.22,56,晴/阴,8℃/20℃,无持续风向≤3级/无持续风向≤3级
872,2016-03-22,中度污染,155,353,107,202,24,73,1.39,34,阴/多云,5℃/14℃,无持续风向≤3级/北风3-4级
873,2016-03-23,优,44,95,16,39,3,24,0.49,64,晴/晴,2℃/15℃,北风3-4级/无持续风向≤3级
874,2016-03-24,优,34,35,11,23,2,27,0.41,60,晴/晴,3℃/15℃,无持续风向≤3级/无持续风向≤3级
875,2016-03-25,优,38,19,15,31,3,32,0.44,59,晴/晴,4℃/15℃,无持续风向≤3级/北风3-4级
876,2016-03-26,优,36,8,11,29,3,25,0.39,64,晴/晴,5℃/19℃,北风3-4级/无持续风向≤3级
877,2016-03-27,优,41,15,14,40,4,32,0.38,57,晴/晴,5℃/21℃,无持续风向≤3级/无持续风向≤3级
878,2016-03-28,轻度污染,139,356,69,188,15,65,0.8,38,多云/浮尘,8℃/22℃,北风3-4级/北风3-4级
879,2016-03-29,良,61,63,17,69,4,28,0.39,68,晴/晴,7℃/22℃,无持续风向≤3级/无持续风向≤3级
880,2016-03-30,良,55,50,26,68,7,37,0.54,61,晴/晴,7℃/22℃,无持续风向≤3级/无持续风向≤3级
